timestamp,visits
2016-05-06,11
2016-05-07,6
2016-05-08,11
2016-05-09,21
2016-05-10,7
2016-05-11,6
2016-05-12,12
2016-05-13,8
2016-05-14,11
2016-05-15,6
2016-05-16,4
2016-05-17,9
2016-05-18,2
2016-05-19,9
2016-05-20,6
2016-05-21,7
2016-05-22,14
2016-05-23,6
2016-05-24,5
2016-05-25,6
2016-05-26,7
2016-05-27,2
2016-05-28,6
2016-05-29,14
2016-05-30,2
2016-05-31,6
2016-06-01,10
2016-06-02,10
2016-06-03,7
2016-06-04,9
2016-06-05,55
2016-06-06,7
2016-06-07,19
2016-06-08,8
2016-06-09,12
2016-06-10,10
2016-06-11,8
2016-06-12,16
2016-06-13,8
2016-06-14,7
2016-06-15,14
2016-06-16,9
2016-06-17,4
2016-06-18,8
2016-06-19,9
2016-06-20,9
2016-06-21,19
2016-06-22,9
2016-06-23,9
2016-06-24,11
2016-06-25,19
2016-06-26,7
2016-06-27,16
2016-06-28,9
2016-06-29,7
2016-06-30,5
2016-07-01,11
2016-07-02,13
2016-07-03,9
2016-07-04,11
2016-07-05,11
2016-07-06,6
2016-07-07,10
2016-07-08,8
2016-07-09,7
2016-07-10,9
2016-07-11,8
2016-07-12,13
2016-07-13,13
2016-07-14,8
2016-07-15,13
2016-07-16,19
2016-07-17,11
2016-07-18,10
2016-07-19,7
2016-07-20,9
2016-07-21,10
2016-07-22,7
2016-07-23,11
2016-07-24,10
2016-07-25,8
2016-07-26,7
2016-07-27,6
2016-07-28,15
2016-07-29,6
2016-07-30,12
2016-07-31,16
2016-08-01,10
2016-08-02,8
2016-08-03,12
2016-08-04,8
2016-08-05,5
2016-08-06,4
2016-08-07,5
2016-08-08,15
2016-08-09,8
2016-08-10,10
2016-08-11,11
2016-08-12,14
2016-08-13,10
2016-08-14,15
2016-08-15,13
2016-08-16,7
2016-08-17,7
2016-08-18,6
2016-08-19,11
2016-08-20,4
2016-08-21,3
2016-08-22,4
2016-08-23,21
2016-08-24,3
2016-08-25,7
2016-08-26,11
2016-08-27,6
2016-08-28,9
2016-08-29,6
2016-08-30,4
2016-08-31,3
2016-09-01,9
2016-09-02,6
2016-09-03,7
2016-09-04,7
2016-09-05,11
2016-09-06,22
2016-09-07,10
2016-09-08,5
2016-09-09,9
2016-09-10,8
2016-09-11,9
2016-09-12,5
2016-09-13,3
2016-09-14,7
2016-09-15,6
2016-09-16,17
2016-09-17,11
2016-09-18,12
2016-09-19,5
2016-09-20,7
2016-09-21,9
2016-09-22,8
2016-09-23,12
2016-09-24,11
2016-09-25,6
2016-09-26,14
2016-09-27,7
2016-09-28,12
2016-09-29,8
2016-09-30,14
2016-10-01,10
2016-10-02,7
2016-10-03,5
2016-10-04,6
2016-10-05,9
2016-10-06,4
2016-10-07,0
2016-10-08,8
2016-10-09,13
2016-10-10,15
2016-10-11,8
2016-10-12,4
2016-10-13,9
2016-10-14,5
2016-10-15,10
2016-10-16,9
2016-10-17,9
2016-10-18,8
2016-10-19,4
2016-10-20,11
2016-10-21,13
2016-10-22,8
2016-10-23,11
2016-10-24,4
2016-10-25,2
2016-10-26,12
2016-10-27,4
2016-10-28,4
2016-10-29,8
2016-10-30,7
2016-10-31,8
2016-11-01,6
2016-11-02,6
2016-11-03,9
2016-11-04,6
2016-11-05,12
2016-11-06,17
2016-11-07,7
2016-11-08,8
2016-11-09,17
2016-11-10,9
2016-11-11,6
